category_name_ru,category_name_uz,category_kind,part_name_ru,part_name_uz
Двигатель,Двигатель,unit,Головка блока цилиндров,Цилиндрлар блоки калласи
Двигатель,Двигатель,unit,Прокладка ГБЦ,ГБЦ прокладкаси
Двигатель,Двигатель,unit,Поршень с кольцами,Поршень ва халқалари
Двигатель,Двигатель,unit,Шатун,Шатун
Двигатель,Двигатель,unit,Коленчатый вал,Коленвал
Двигатель,Двигатель,unit,Маховик,Маховик
Двигатель,Двигатель,unit,Вкладыши коленвала,Коленвал вкладишлари
Двигатель,Двигатель,unit,Распределительный вал,Распредвал
Двигатель,Двигатель,unit,Клапан впускной,Кириш клапани
Двигатель,Двигатель,unit,Клапан выпускной,Чиқиш клапани
Двигатель,Двигатель,unit,Толкатель клапана,Клапан итаргичи
Двигатель,Двигатель,unit,ТНВД (топливный насос высокого давления),Юқори босимли ёқилғи насоси (ТНВД)
Двигатель,Двигатель,unit,Форсунка топливная,Ёқилғи форсункаси
Двигатель,Двигатель,unit,Подкачивающий насос топлива,Ёқилғи ҳайдовчи насоси
Двигатель,Двигатель,unit,Фильтр-отстойник топлива,Ёқилғи чўкма фильтри
Двигатель,Двигатель,unit,Фильтр топливный тонкой очистки,Нозик тозалаш ёқилғи фильтри
Двигатель,Двигатель,unit,Фильтр топливный грубой очистки,Дағал тозалаш ёқилғи фильтри
Двигатель,Двигатель,unit,Воздушный фильтр,Ҳаво фильтри
Двигатель,Двигатель,unit,Масляный фильтр,Мой фильтри
Двигатель,Двигатель,unit,Радиатор водяной,Сув радиатори
Двигатель,Двигатель,unit,Термостат системы охлаждения,Совутиш термостати
Двигатель,Двигатель,unit,Водяной насос (помпа),Сув насоси (помпа)
Двигатель,Двигатель,unit,Вентилятор охлаждения,Совутиш вентилятори
Двигатель,Двигатель,unit,Компрессор пневмосистемы,Пневмотизим компрессори
Двигатель,Двигатель,unit,Стартер,Стартер
Двигатель,Двигатель,unit,Свеча накаливания,Қиздириш шами
Двигатель,Двигатель,unit,Ремень генератора,Генератор тасмаси
Двигатель,Двигатель,unit,Ремень ГРМ,ГРМ тасмаси
Трансмиссия,Трансмиссия,unit,Диск сцепления,Муфта диски
Трансмиссия,Трансмиссия,unit,Корзина сцепления,Муфта саватчаси
Трансмиссия,Трансмиссия,unit,Выжимной подшипник сцепления,Муфта итариш подшипниги
Трансмиссия,Трансмиссия,unit,Картер сцепления,Муфта картери
Трансмиссия,Трансмиссия,unit,Вал первичный КПП,КПП биринчи вали
Трансмиссия,Трансмиссия,unit,Вал вторичный КПП,КПП иккинчи вали
Трансмиссия,Трансмиссия,unit,Шестерня КПП,КПП шестернаси
Трансмиссия,Трансмиссия,unit,Синхронизатор КПП,КПП синхронизатори
Трансмиссия,Трансмиссия,unit,Подшипник КПП,КПП подшипниги
Трансмиссия,Трансмиссия,unit,Корпус заднего моста,Орқа кўприк корпуси
Трансмиссия,Трансмиссия,unit,Картер заднего моста,Орқа кўприк картери
Трансмиссия,Трансмиссия,unit,Дифференциал,Дифференциал
Трансмиссия,Трансмиссия,unit,Стакан подшипника дифференциала,Дифференциал подшипниги стакани
Трансмиссия,Трансмиссия,unit,Бортовой редуктор,Борт редуктори
Трансмиссия,Трансмиссия,unit,Полуось,Ярим ўқ
Трансмиссия,Трансмиссия,unit,Конечная передача,Охирги узатма
Трансмиссия,Трансмиссия,unit,Карданный вал,Кардан вали
Трансмиссия,Трансмиссия,unit,Крестовина карданного вала,Кардан крестовинаси
Трансмиссия,Трансмиссия,unit,Фланец карданного вала,Кардан фланеци
Гидравлика,Гидравлика,unit,Гидронасос,Гидронасос
Гидравлика,Гидравлика,unit,Гидроцилиндр подъёма,Кўтариш гидроцилиндри
Гидравлика,Гидравлика,unit,Гидрораспределитель,Гидротақсимлагич
Гидравлика,Гидравлика,unit,Гидроагрегаты и арматура,Гидроагрегатлар ва арматура
Гидравлика,Гидравлика,unit,Гидроувеличитель сцепного веса,Илашиш вазнини оширгич
Гидравлика,Гидравлика,unit,Гидроаккумулятор,Гидроаккумулятор
Гидравлика,Гидравлика,unit,Гидравлический шланг,Гидравлик шланг
Гидравлика,Гидравлика,unit,Ремкомплект гидроцилиндра,Гидроцилиндр таъмирлаш тўплами
Гидравлика,Гидравлика,unit,Гидравлический фильтр,Гидравлик фильтр
Гидравлика,Гидравлика,unit,Насос шестеренный (НШ),Шестерняли насос (НШ)
Гидравлика,Гидравлика,unit,Регулятор навесной системы,Илова тизими регулятори
Ходовая часть,Юриш қисми,unit,Ось передняя,Олд ўқ
Ходовая часть,Юриш қисми,unit,Тяга рулевая,Руль тортмаси
Ходовая часть,Юриш қисми,unit,Колесо переднее направляющее,Олд йўналтирувчи ғилдирак
Ходовая часть,Юриш қисми,unit,Ступица переднего колеса,Олд ғилдирак ступицаси
Ходовая часть,Юриш қисми,unit,Ступица заднего колеса,Орқа ғилдирак ступицаси
Ходовая часть,Юриш қисми,unit,Проставка для сдваивания колёс,Ғилдиракларни жуфтлаш втулкаси
Ходовая часть,Юриш қисми,unit,Рама (полурама),Рама (ярим рама)
Ходовая часть,Юриш қисми,unit,Бампер,Бампер
Ходовая часть,Юриш қисми,unit,Брызговик,Ботирувчи қалқон
Ходовая часть,Юриш қисми,unit,Шаровая опора,Шарсимон таянч
Ходовая часть,Юриш қисми,unit,Амортизатор,Амортизатор
Ходовая часть,Юриш қисми,unit,Рессора,Рессора
Ходовая часть,Юриш қисми,unit,Гидроусилитель рулевого управления,Руль гидрокучайтиргичи
Ходовая часть,Юриш қисми,unit,Цилиндр гидроусилителя руля,Руль гидрокучайтиргичи цилиндри
Ходовая часть,Юриш қисми,unit,Распределитель гидроусилителя руля,Руль гидрокучайтиргичи тақсимлагичи
Ходовая часть,Юриш қисми,unit,Рулевой механизм,Руль механизми
Электрооборудование,Электр жиҳозлари,unit,Аккумуляторная батарея,Аккумулятор батареяси
Электрооборудование,Электр жиҳозлари,unit,Генератор,Генератор
Электрооборудование,Электр жиҳозлари,unit,Фара передняя,Олд фара
Электрооборудование,Электр жиҳозлари,unit,Задний фонарь,Орқа чироқ
Электрооборудование,Электр жиҳозлари,unit,Плафон кабины,Кабина плафони
Электрооборудование,Электр жиҳозлари,unit,Указатель поворота,Бурилиш кўрсаткичи
Электрооборудование,Электр жиҳозлари,unit,Электромагнитное реле,Электромагнит реле
Электрооборудование,Электр жиҳозлари,unit,Щиток приборов,Асбоблар панели
Электрооборудование,Электр жиҳозлари,unit,Выключатель массы,Масса ажратгичи
Электрооборудование,Электр жиҳозлари,unit,Жгут проводки,Электр симлари тўплами
Электрооборудование,Электр жиҳозлари,unit,Предохранитель,Сақлагич
Тормозная система,Тормоз тизими,unit,Тормозной кран,Тормоз крани
Тормозная система,Тормоз тизими,unit,Тормозная камера,Тормоз камераси
Тормозная система,Тормоз тизими,unit,Тормозной барабан,Тормоз барабани
Тормозная система,Тормоз тизими,unit,Тормозные колодки,Тормоз колодкалари
Тормозная система,Тормоз тизими,unit,Тормозной диск,Тормоз диски
Тормозная система,Тормоз тизими,unit,Главный тормозной цилиндр,Асосий тормоз цилиндри
Тормозная система,Тормоз тизими,unit,Регулятор давления тормозов,Тормоз босими регулятори
Тормозная система,Тормоз тизими,unit,Ресивер воздушный,Ҳаво ресивери
Тормозная система,Тормоз тизими,unit,Соединительная головка,Уловчи бош
Тормозная система,Тормоз тизими,unit,Стояночный тормоз,Тўхташ тормози
Топливная система,Ёқилғи тизими,unit,Топливный бак,Ёқилғи баки
